MP Name,mpConstituency,Party,MP Page Reference
Sir Nicholas Soames,Mid Sussex,Conservative,/wiki/Nicholas_Soames
Francie Molloy,Mid Ulster,Sinn Féin,/wiki/Francie_Molloy
Nigel Huddleston,Mid Worcestershire,Conservative,/wiki/Nigel_Huddleston
Andy McDonald,Middlesbrough,Labour,/wiki/Andy_McDonald_(politician)
Simon Clarke,Middlesbrough South and East Cleveland,Labour,/wiki/Simon_Clarke_(politician)
Danielle Rowley,Midlothian,SNP,/wiki/Danielle_Rowley
Mark Lancaster,Milton Keynes North,Conservative,/wiki/Mark_Lancaster
Iain Stewart,Milton Keynes South,Conservative,/wiki/Iain_Stewart_(politician)
Siobhain McDonagh,Mitcham and Morden,Labour,/wiki/Siobhain_McDonagh
Sir Paul Beresford,Mole Valley,Conservative,/wiki/Paul_Beresford
David Davies,Monmouth,Conservative,/wiki/David_Davies_(Welsh_politician)
Glyn Davies,Montgomeryshire,Conservative,/wiki/Glyn_Davies_(British_politician)
Douglas Ross,Moray,SNP,/wiki/Douglas_Ross_(Scottish_politician)
David Morris,Morecambe and Lunesdale,Conservative,/wiki/David_Morris_(Conservative_politician)
Andrea Jenkyns,Morley and Outwood,Conservative,/wiki/Andrea_Jenkyns
Marion Fellows,Motherwell and Wishaw,SNP,/wiki/Marion_Fellows
Angus MacNeil,Na h-Eileanan an Iar,SNP,/wiki/Angus_MacNeil
Christina Rees,Neath,Labour,/wiki/Christina_Rees_(politician)
Julian Lewis,New Forest East,Conservative,/wiki/Julian_Lewis_(MP)
Sir Desmond Swayne,New Forest West,Conservative,/wiki/Desmond_Swayne
Robert Jenrick,Newark,Conservative,/wiki/Robert_Jenrick
Richard Benyon,Newbury,Conservative,/wiki/Richard_Benyon
Chinyelu Onwurah,Newcastle upon Tyne Central,Labour,/wiki/Chinyelu_Onwurah
Nick Brown,Newcastle upon Tyne East,Labour,/wiki/Nick_Brown
Catherine McKinnell,Newcastle upon Tyne North,Labour,/wiki/Catherine_McKinnell
Paul Farrelly,Newcastle-under-Lyme,Labour,/wiki/Paul_Farrelly
Jessica Morden,Newport East,Labour,/wiki/Jessica_Morden
Paul Flynn,Newport West,Labour,/wiki/Paul_Flynn_(politician)
Mickey Brady,Newry and Armagh,Sinn Féin,/wiki/Mickey_Brady
Anne Marie Morris,Newton Abbot,Conservative,/wiki/Anne_Marie_Morris
Yvette Cooper,"Normanton, Pontefract and Castleford",Labour,/wiki/Yvette_Cooper
"The Hon. Ian Paisley, Jr.",North Antrim,DUP,"/wiki/Ian_Paisley,_Jr."
Patricia Gibson,North Ayrshire and Arran,SNP,/wiki/Patricia_Gibson
Scott Mann,North Cornwall,Conservative,/wiki/Scott_Mann_(politician)
Peter Heaton-Jones,North Devon,Conservative,/wiki/Peter_Heaton-Jones
Simon Hoare,North Dorset,Conservative,/wiki/Simon_Hoare
"Sylvia, Lady Hermon",North Down,Independent,/wiki/Sylvia_Hermon
Kevan Jones,North Durham,Labour,/wiki/Kevan_Jones
Alistair Burt,North East Bedfordshire,Conservative,/wiki/Alistair_Burt
Stephen Barclay,North East Cambridgeshire,Conservative,/wiki/Stephen_Barclay
Lee Rowley,North East Derbyshire,Labour,/wiki/Lee_Rowley
Stephen Gethins,North East Fife,SNP,/wiki/Stephen_Gethins
